Gene,Sample ID,Ct,temperature,File
CsCALS9,259,25.1793,78.6,SYBR Results 2022-07-29 (2).xlsx
CsCALS9,260,27.6431,78.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS9,260,27.3794,78.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS9,260,27.2174,78.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS9,261,NA,65.5,SYBR Results 2022-07-29 (2).xlsx
CsCALS9,261,NA,68.2,SYBR Results 2022-07-29 (2).xlsx
CsCALS9,261,NA,68.6,SYBR Results 2022-07-29 (2).xlsx
CsCALS9,262,25.0539,79.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS9,262,24.8604,79.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS9,262,24.8524,78.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS11,259,26.0564,78.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS11,259,26.1021,78.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS11,259,26.0936,79.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS11,260,30.1444,79.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS11,260,30.1712,79.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS11,260,29.7745,79.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS11,261,NA,65.5,SYBR Results 2022-07-29 (2).xlsx
CsCALS11,261,NA,65.5,SYBR Results 2022-07-29 (2).xlsx
CsCALS11,261,NA,67.2,SYBR Results 2022-07-29 (2).xlsx
CsCALS11,262,26.2096,79.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS11,262,26.2814,79.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS11,262,26.3099,78.9,SYBR Results 2022-07-29 (2).xlsx
CsCALS12,259,26.4182,81,SYBR Results 2022-07-29 (2).xlsx
CsCALS12,259,25.9903,81,SYBR Results 2022-07-29 (2).xlsx
CsCALS12,259,25.9373,81,SYBR Results 2022-07-29 (2).xlsx
CsCALS12,260,31.6435,81.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS12,260,29.8778,81.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS12,260,30.0639,81.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS12,261,NA,68.6,SYBR Results 2022-07-29 (2).xlsx
CsCALS12,261,NA,68.2,SYBR Results 2022-07-29 (2).xlsx
CsCALS12,261,NA,68.2,SYBR Results 2022-07-29 (2).xlsx
CsCALS12,262,26.0525,81.7,SYBR Results 2022-07-29 (2).xlsx
CsCALS12,262,25.8205,81.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS12,262,25.7593,81.3,SYBR Results 2022-07-29 (2).xlsx
GAPDH,259,21.5918,78.9,SYBR Results 2022-07-29 (2).xlsx
GAPDH,259,21.337,79.3,SYBR Results 2022-07-29 (2).xlsx
GAPDH,259,21.7269,79.3,SYBR Results 2022-07-29 (2).xlsx
GAPDH,260,24.0006,79.6,SYBR Results 2022-07-29 (2).xlsx
GAPDH,260,23.6392,79.6,SYBR Results 2022-07-29 (2).xlsx
GAPDH,260,23.7037,79.6,SYBR Results 2022-07-29 (2).xlsx
GAPDH,261,NA,68.2,SYBR Results 2022-07-29 (2).xlsx
GAPDH,261,NA,66.9,SYBR Results 2022-07-29 (2).xlsx
GAPDH,261,NA,78.6,SYBR Results 2022-07-29 (2).xlsx
GAPDH,262,22.1139,79.6,SYBR Results 2022-07-29 (2).xlsx
GAPDH,262,22.0938,79.6,SYBR Results 2022-07-29 (2).xlsx
GAPDH,262,22.1911,79.3,SYBR Results 2022-07-29 (2).xlsx
CsCALS3,263,27.5157,78.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS3,263,27.4228,78.6,SYBR Results 2022-07-29 (3).xlsx
CsCALS3,263,27.2142,78.6,SYBR Results 2022-07-29 (3).xlsx
CsCALS3,264,24.1835,78.6,SYBR Results 2022-07-29 (3).xlsx
CsCALS3,264,23.9651,78.6,SYBR Results 2022-07-29 (3).xlsx
CsCALS3,264,24.1741,78.6,SYBR Results 2022-07-29 (3).xlsx
CsCALS3,265,21.6759,78.6,SYBR Results 2022-07-29 (3).xlsx
CsCALS3,265,21.6811,78.6,SYBR Results 2022-07-29 (3).xlsx
CsCALS3,265,21.6834,78.6,SYBR Results 2022-07-29 (3).xlsx
CsCALS3,266,27.8405,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS3,266,27.9212,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS3,266,27.993,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS7,263,27.322,79.7,SYBR Results 2022-07-29 (3).xlsx
CsCALS7,263,27.0048,80,SYBR Results 2022-07-29 (3).xlsx
CsCALS7,263,26.9411,80,SYBR Results 2022-07-29 (3).xlsx
CsCALS7,264,25.8592,80.4,SYBR Results 2022-07-29 (3).xlsx
CsCALS7,264,25.7745,80.7,SYBR Results 2022-07-29 (3).xlsx
CsCALS7,264,25.7111,80.7,SYBR Results 2022-07-29 (3).xlsx
CsCALS7,265,24.5854,80.7,SYBR Results 2022-07-29 (3).xlsx
CsCALS7,265,24.714,80.7,SYBR Results 2022-07-29 (3).xlsx
CsCALS7,265,24.5613,80.4,SYBR Results 2022-07-29 (3).xlsx
CsCALS7,266,27.0871,80.4,SYBR Results 2022-07-29 (3).xlsx
CsCALS7,266,27.7861,80,SYBR Results 2022-07-29 (3).xlsx
CsCALS7,266,27.1287,80,SYBR Results 2022-07-29 (3).xlsx
CsCALS9,263,25.1645,78.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS9,263,25.1334,78.6,SYBR Results 2022-07-29 (3).xlsx
CsCALS9,263,25.1562,78.6,SYBR Results 2022-07-29 (3).xlsx
CsCALS9,264,24.5691,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS9,264,24.6328,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS9,264,24.6168,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS9,265,23.3875,79.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS9,265,23.3543,79.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS9,265,23.327,79.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS9,266,26.2351,79.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS9,266,25.9968,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS9,266,25.7467,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS11,263,26.8087,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS11,263,26.7707,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS11,263,26.7342,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS11,264,27.112,79.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS11,264,27.101,79.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS11,264,27.071,79.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS11,265,26.081,79.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS11,265,26.1197,79.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS11,265,26.0828,79.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS11,266,27.8119,79.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS11,266,27.5605,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS11,266,27.7313,79,SYBR Results 2022-07-29 (3).xlsx
CsCALS12,263,26.7089,80.7,SYBR Results 2022-07-29 (3).xlsx
CsCALS12,263,26.5857,81,SYBR Results 2022-07-29 (3).xlsx
CsCALS12,263,26.6161,81,SYBR Results 2022-07-29 (3).xlsx
CsCALS12,264,25.8857,81.4,SYBR Results 2022-07-29 (3).xlsx
CsCALS12,264,25.8056,81.4,SYBR Results 2022-07-29 (3).xlsx
CsCALS12,264,25.8476,81.4,SYBR Results 2022-07-29 (3).xlsx
CsCALS12,265,24.1059,81.4,SYBR Results 2022-07-29 (3).xlsx
CsCALS12,265,24.1274,81.4,SYBR Results 2022-07-29 (3).xlsx
CsCALS12,265,24.0926,81.4,SYBR Results 2022-07-29 (3).xlsx
CsCALS12,266,27.1484,81.4,SYBR Results 2022-07-29 (3).xlsx
CsCALS12,266,26.8743,81.4,SYBR Results 2022-07-29 (3).xlsx
CsCALS12,266,27.0959,81,SYBR Results 2022-07-29 (3).xlsx
GAPDH,263,22.5373,79,SYBR Results 2022-07-29 (3).xlsx
GAPDH,263,22.3838,79.3,SYBR Results 2022-07-29 (3).xlsx
GAPDH,263,22.3095,79.3,SYBR Results 2022-07-29 (3).xlsx
GAPDH,264,21.2938,79.3,SYBR Results 2022-07-29 (3).xlsx
GAPDH,264,21.2363,79.7,SYBR Results 2022-07-29 (3).xlsx
GAPDH,264,21.3038,79.7,SYBR Results 2022-07-29 (3).xlsx
GAPDH,265,19.2984,79.7,SYBR Results 2022-07-29 (3).xlsx
GAPDH,265,19.5468,79.7,SYBR Results 2022-07-29 (3).xlsx
GAPDH,265,19.2754,79.7,SYBR Results 2022-07-29 (3).xlsx
GAPDH,266,23.7561,79.7,SYBR Results 2022-07-29 (3).xlsx
GAPDH,266,23.7366,79.7,SYBR Results 2022-07-29 (3).xlsx
GAPDH,266,23.9187,79.3,SYBR Results 2022-07-29 (3).xlsx
CsCALS3,267,32.6114,78.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS3,267,32.6114,78.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS3,267,33.7746,78.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS3,268,30.0639,79,SYBR Results 2022-08-01 (1).xlsx
CsCALS3,268,29.459,79,SYBR Results 2022-08-01 (1).xlsx
CsCALS3,268,29.6585,79,SYBR Results 2022-08-01 (1).xlsx
CsCALS3,269,27.0799,78.7,SYBR Results 2022-08-01 (1).xlsx
CsCALS3,269,27.0578,78.7,SYBR Results 2022-08-01 (1).xlsx
CsCALS3,269,27.1953,78.7,SYBR Results 2022-08-01 (1).xlsx
CsCALS3,270,NA,78.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS3,270,NA,65.6,SYBR Results 2022-08-01 (1).xlsx
CsCALS3,270,NA,65.6,SYBR Results 2022-08-01 (1).xlsx
CsCALS7,267,32.4345,79.7,SYBR Results 2022-08-01 (1).xlsx
CsCALS7,267,32.5356,80,SYBR Results 2022-08-01 (1).xlsx
CsCALS7,267,32.0825,80,SYBR Results 2022-08-01 (1).xlsx
CsCALS7,268,29.6742,80.4,SYBR Results 2022-08-01 (1).xlsx
CsCALS7,268,29.6398,80.4,SYBR Results 2022-08-01 (1).xlsx
CsCALS7,268,29.3226,80.7,SYBR Results 2022-08-01 (1).xlsx
CsCALS7,269,28.0981,80.7,SYBR Results 2022-08-01 (1).xlsx
CsCALS7,269,28.2501,80.4,SYBR Results 2022-08-01 (1).xlsx
CsCALS7,269,28.1705,80.4,SYBR Results 2022-08-01 (1).xlsx
CsCALS7,270,NA,80.4,SYBR Results 2022-08-01 (1).xlsx
CsCALS7,270,NA,69,SYBR Results 2022-08-01 (1).xlsx
CsCALS7,270,NA,67.6,SYBR Results 2022-08-01 (1).xlsx
CsCALS9,267,29.3401,78.7,SYBR Results 2022-08-01 (1).xlsx
CsCALS9,267,28.9906,79,SYBR Results 2022-08-01 (1).xlsx
CsCALS9,267,29.0121,79,SYBR Results 2022-08-01 (1).xlsx
CsCALS9,268,26.021,79.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS9,268,25.7717,79.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS9,268,25.8291,79.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS9,269,25.6545,79.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS9,269,25.453,79.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS9,269,25.5859,79.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS9,270,32.566,79,SYBR Results 2022-08-01 (1).xlsx
CsCALS9,270,32.7943,78.7,SYBR Results 2022-08-01 (1).xlsx
CsCALS9,270,32.5056,78.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS11,267,32.1885,78.7,SYBR Results 2022-08-01 (1).xlsx
CsCALS11,267,32.497,79,SYBR Results 2022-08-01 (1).xlsx
CsCALS11,267,32.698,79,SYBR Results 2022-08-01 (1).xlsx
CsCALS11,268,28.5562,79.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS11,268,28.3299,79.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS11,268,28.658,79.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS11,269,NA,66.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS11,269,NA,65.9,SYBR Results 2022-08-01 (1).xlsx
CsCALS11,269,NA,67.6,SYBR Results 2022-08-01 (1).xlsx
CsCALS11,270,NA,65.6,SYBR Results 2022-08-01 (1).xlsx
CsCALS11,270,NA,65.6,SYBR Results 2022-08-01 (1).xlsx
CsCALS11,270,NA,65.6,SYBR Results 2022-08-01 (1).xlsx
CsCALS12,267,30.7439,80.7,SYBR Results 2022-08-01 (1).xlsx
CsCALS12,267,30.8704,80.7,SYBR Results 2022-08-01 (1).xlsx
CsCALS12,267,30.4202,81,SYBR Results 2022-08-01 (1).xlsx
CsCALS12,268,28.4872,81,SYBR Results 2022-08-01 (1).xlsx
CsCALS12,268,28.1514,81,SYBR Results 2022-08-01 (1).xlsx
CsCALS12,268,28.3186,81,SYBR Results 2022-08-01 (1).xlsx
CsCALS12,269,27.7419,81,SYBR Results 2022-08-01 (1).xlsx
CsCALS12,269,27.5468,81,SYBR Results 2022-08-01 (1).xlsx
CsCALS12,269,27.5034,81.4,SYBR Results 2022-08-01 (1).xlsx
CsCALS12,270,NA,81.4,SYBR Results 2022-08-01 (1).xlsx
CsCALS12,270,NA,65.9,SYBR Results 2022-08-01 (1).xlsx
CsCALS12,270,NA,81,SYBR Results 2022-08-01 (1).xlsx
GAPDH,267,25.2731,79,SYBR Results 2022-08-01 (1).xlsx
GAPDH,267,25.1873,79.3,SYBR Results 2022-08-01 (1).xlsx
GAPDH,267,25.1385,79.3,SYBR Results 2022-08-01 (1).xlsx
GAPDH,268,22.3266,79.3,SYBR Results 2022-08-01 (1).xlsx
GAPDH,268,22.1692,79.3,SYBR Results 2022-08-01 (1).xlsx
GAPDH,268,22.1797,79.7,SYBR Results 2022-08-01 (1).xlsx
GAPDH,269,21.9067,79.7,SYBR Results 2022-08-01 (1).xlsx
GAPDH,269,21.9057,79.7,SYBR Results 2022-08-01 (1).xlsx
GAPDH,269,21.8826,79.7,SYBR Results 2022-08-01 (1).xlsx
GAPDH,270,30.9016,79.7,SYBR Results 2022-08-01 (1).xlsx
GAPDH,270,31.0715,79.7,SYBR Results 2022-08-01 (1).xlsx
GAPDH,270,31.0783,79.3,SYBR Results 2022-08-01 (1).xlsx
CsCALS3,271,31.0226,78.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS3,271,31.4818,78.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS3,271,31.0243,78.4,SYBR Results 2022-08-01 (2).xlsx
CsCALS3,272,24.0705,78.4,SYBR Results 2022-08-01 (2).xlsx
CsCALS3,272,23.9601,78.7,SYBR Results 2022-08-01 (2).xlsx
CsCALS3,272,24.0022,78.7,SYBR Results 2022-08-01 (2).xlsx
CsCALS3,273,28.0443,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS3,273,28.1266,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS3,273,28.1042,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS3,274,NA,66.7,SYBR Results 2022-08-01 (2).xlsx
CsCALS3,274,NA,66.3,SYBR Results 2022-08-01 (2).xlsx
CsCALS3,274,NA,67,SYBR Results 2022-08-01 (2).xlsx
CsCALS7,271,30.3684,79.8,SYBR Results 2022-08-01 (2).xlsx
CsCALS7,271,30.0515,80.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS7,271,30.0086,80.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS7,272,25.8249,80.5,SYBR Results 2022-08-01 (2).xlsx
CsCALS7,272,26.0559,80.5,SYBR Results 2022-08-01 (2).xlsx
CsCALS7,272,25.7374,80.5,SYBR Results 2022-08-01 (2).xlsx
CsCALS7,273,27.0629,80.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS7,273,27.0793,80.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS7,273,27.0035,80.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS7,274,NA,65.6,SYBR Results 2022-08-01 (2).xlsx
CsCALS7,274,NA,71.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS7,274,NA,79.8,SYBR Results 2022-08-01 (2).xlsx
CsCALS9,271,27.0042,78.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS9,271,26.8163,78.4,SYBR Results 2022-08-01 (2).xlsx
CsCALS9,271,27.0243,78.7,SYBR Results 2022-08-01 (2).xlsx
CsCALS9,272,24.5293,78.7,SYBR Results 2022-08-01 (2).xlsx
CsCALS9,272,24.4973,78.7,SYBR Results 2022-08-01 (2).xlsx
CsCALS9,272,24.4904,78.7,SYBR Results 2022-08-01 (2).xlsx
CsCALS9,273,25.3644,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS9,273,25.306,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS9,273,25.2783,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS9,274,32.1464,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS9,274,31.5202,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS9,274,32.8317,78.7,SYBR Results 2022-08-01 (2).xlsx
CsCALS11,271,30.4567,78.7,SYBR Results 2022-08-01 (2).xlsx
CsCALS11,271,29.9677,78.7,SYBR Results 2022-08-01 (2).xlsx
CsCALS11,271,29.8884,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS11,272,27.3969,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS11,272,27.1801,79.5,SYBR Results 2022-08-01 (2).xlsx
CsCALS11,272,27.2024,79.5,SYBR Results 2022-08-01 (2).xlsx
CsCALS11,273,27.9334,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS11,273,27.8543,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS11,273,27.8377,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS11,274,35.3235,78.7,SYBR Results 2022-08-01 (2).xlsx
CsCALS11,274,35.6992,79.1,SYBR Results 2022-08-01 (2).xlsx
CsCALS11,274,NA,67.3,SYBR Results 2022-08-01 (2).xlsx
CsCALS12,271,29.6607,80.8,SYBR Results 2022-08-01 (2).xlsx
CsCALS12,271,29.4838,80.8,SYBR Results 2022-08-01 (2).xlsx
CsCALS12,271,29.8851,81.2,SYBR Results 2022-08-01 (2).xlsx
CsCALS12,272,25.9585,81.2,SYBR Results 2022-08-01 (2).xlsx
CsCALS12,272,25.6847,81.2,SYBR Results 2022-08-01 (2).xlsx
CsCALS12,272,25.7122,81.5,SYBR Results 2022-08-01 (2).xlsx
CsCALS12,273,26.4898,81.5,SYBR Results 2022-08-01 (2).xlsx
CsCALS12,273,26.3962,81.5,SYBR Results 2022-08-01 (2).xlsx
CsCALS12,273,26.4008,81.5,SYBR Results 2022-08-01 (2).xlsx
CsCALS12,274,35.9326,81.5,SYBR Results 2022-08-01 (2).xlsx
CsCALS12,274,34.4612,81.2,SYBR Results 2022-08-01 (2).xlsx
CsCALS12,274,34.6171,80.8,SYBR Results 2022-08-01 (2).xlsx
GAPDH,271,23.2367,78.7,SYBR Results 2022-08-01 (2).xlsx
GAPDH,271,22.8638,79.1,SYBR Results 2022-08-01 (2).xlsx
GAPDH,271,22.3954,79.1,SYBR Results 2022-08-01 (2).xlsx
GAPDH,272,20.363,79.5,SYBR Results 2022-08-01 (2).xlsx
GAPDH,272,20.2868,79.5,SYBR Results 2022-08-01 (2).xlsx
GAPDH,272,20.3904,79.5,SYBR Results 2022-08-01 (2).xlsx
GAPDH,273,22.5202,79.5,SYBR Results 2022-08-01 (2).xlsx
GAPDH,273,22.4418,79.5,SYBR Results 2022-08-01 (2).xlsx
