Sample ID,Gene,Ct,temperature,File
260,GLU 1 (41-42),23.406,86.4,SYBR Results 2022-12-01 (1).xlsx
260,GLU 1 (41-42),23.4507,86.4,SYBR Results 2022-12-01 (1).xlsx
260,GLU 2 (65-66),27.8939,80.7,SYBR Results 2022-12-01 (1).xlsx
260,GLU 2 (65-66),27.5618,80.7,SYBR Results 2022-12-01 (1).xlsx
260,GLU 2 (65-66),27.5864,80.7,SYBR Results 2022-12-01 (1).xlsx
260,GAPDH,23.2888,79.7,SYBR Results 2022-12-01 (1).xlsx
260,GAPDH,23.2364,79.7,SYBR Results 2022-12-01 (1).xlsx
260,GAPDH,23.2575,80,SYBR Results 2022-12-01 (1).xlsx
261,GLU 1 (41-42),21.137,86.1,SYBR Results 2022-12-01 (1).xlsx
261,GLU 1 (41-42),21.1043,86.4,SYBR Results 2022-12-01 (1).xlsx
261,GLU 1 (41-42),21.1276,86.4,SYBR Results 2022-12-01 (1).xlsx
261,GLU 2 (65-66),31.7984,80.7,SYBR Results 2022-12-01 (1).xlsx
261,GLU 2 (65-66),31.2522,81.1,SYBR Results 2022-12-01 (1).xlsx
261,GLU 2 (65-66),31.3019,81.1,SYBR Results 2022-12-01 (1).xlsx
261,GAPDH,21.4816,79.7,SYBR Results 2022-12-01 (1).xlsx
261,GAPDH,21.2534,79.7,SYBR Results 2022-12-01 (1).xlsx
261,GAPDH,21.1414,79.7,SYBR Results 2022-12-01 (1).xlsx
263,GLU 1 (41-42),22.0834,85.9,SYBR Results 2022-12-01 (2).xlsx
263,GLU 1 (41-42),22.0689,85.9,SYBR Results 2022-12-01 (2).xlsx
263,GLU 1 (41-42),22.0234,86.3,SYBR Results 2022-12-01 (2).xlsx
263,GLU 2 (65-66),26.3703,80.2,SYBR Results 2022-12-01 (2).xlsx
263,GLU 2 (65-66),26.3407,80.2,SYBR Results 2022-12-01 (2).xlsx
263,GLU 2 (65-66),26.3678,80.2,SYBR Results 2022-12-01 (2).xlsx
263,GAPDH,22.1046,79.5,SYBR Results 2022-12-01 (2).xlsx
263,GAPDH,22.097,79.5,SYBR Results 2022-12-01 (2).xlsx
263,GAPDH,22.0887,79.2,SYBR Results 2022-12-01 (2).xlsx
264,GLU 1 (41-42),24.7111,86.3,SYBR Results 2022-12-01 (2).xlsx
264,GLU 1 (41-42),NA,86.3,SYBR Results 2022-12-01 (2).xlsx
264,GLU 1 (41-42),24.6459,86.3,SYBR Results 2022-12-01 (2).xlsx
264,GLU 2 (65-66),32.6598,81.2,SYBR Results 2022-12-01 (2).xlsx
264,GLU 2 (65-66),32.3359,81.2,SYBR Results 2022-12-01 (2).xlsx
264,GLU 2 (65-66),32.1686,81.6,SYBR Results 2022-12-01 (2).xlsx
264,GAPDH,21.0242,79.5,SYBR Results 2022-12-01 (2).xlsx
264,GAPDH,21.0103,79.5,SYBR Results 2022-12-01 (2).xlsx
264,GAPDH,20.9512,79.5,SYBR Results 2022-12-01 (2).xlsx
265,GLU 1 (41-42),26.9382,86.3,SYBR Results 2022-12-01 (2).xlsx
265,GLU 1 (41-42),NA,87.6,SYBR Results 2022-12-01 (2).xlsx
265,GLU 1 (41-42),26.8072,86.6,SYBR Results 2022-12-01 (2).xlsx
265,GLU 2 (65-66),32.7375,80.9,SYBR Results 2022-12-01 (2).xlsx
265,GLU 2 (65-66),33.3158,81.2,SYBR Results 2022-12-01 (2).xlsx
265,GLU 2 (65-66),33.6461,81.2,SYBR Results 2022-12-01 (2).xlsx
265,GAPDH,19.2652,79.8,SYBR Results 2022-12-01 (2).xlsx
265,GAPDH,19.2999,79.8,SYBR Results 2022-12-01 (2).xlsx
265,GAPDH,19.1793,79.8,SYBR Results 2022-12-01 (2).xlsx
266,GLU 1 (41-42),26.5855,85.9,SYBR Results 2022-12-01 (2).xlsx
266,GLU 1 (41-42),26.5207,85.9,SYBR Results 2022-12-01 (2).xlsx
266,GLU 1 (41-42),26.4563,86.3,SYBR Results 2022-12-01 (2).xlsx
266,GLU 2 (65-66),30.3914,80.6,SYBR Results 2022-12-01 (2).xlsx
266,GLU 2 (65-66),30.3269,80.6,SYBR Results 2022-12-01 (2).xlsx
266,GLU 2 (65-66),30.8595,80.6,SYBR Results 2022-12-01 (2).xlsx
266,GAPDH,23.6069,79.8,SYBR Results 2022-12-01 (2).xlsx
266,GAPDH,23.617,79.8,SYBR Results 2022-12-01 (2).xlsx
266,GAPDH,23.5958,79.8,SYBR Results 2022-12-01 (2).xlsx
267,GLU 1 (41-42),28.4473,86.3,SYBR Results 2022-12-01 (2).xlsx
267,GLU 1 (41-42),28.8192,86.3,SYBR Results 2022-12-01 (2).xlsx
267,GLU 1 (41-42),28.4509,86.6,SYBR Results 2022-12-01 (2).xlsx
267,GLU 2 (65-66),33.3015,80.6,SYBR Results 2022-12-01 (2).xlsx
267,GLU 2 (65-66),32.8391,80.6,SYBR Results 2022-12-01 (2).xlsx
267,GLU 2 (65-66),33.7685,80.9,SYBR Results 2022-12-01 (2).xlsx
267,GAPDH,25.6215,79.8,SYBR Results 2022-12-01 (2).xlsx
267,GAPDH,25.7528,79.8,SYBR Results 2022-12-01 (2).xlsx
267,GAPDH,25.757,79.8,SYBR Results 2022-12-01 (2).xlsx
268,GLU 1 (41-42),24.0876,86.3,SYBR Results 2022-12-01 (2).xlsx
268,GLU 1 (41-42),24.0536,86.6,SYBR Results 2022-12-01 (2).xlsx
268,GLU 1 (41-42),24.1007,86.6,SYBR Results 2022-12-01 (2).xlsx
268,GLU 2 (65-66),30.4127,80.2,SYBR Results 2022-12-01 (2).xlsx
268,GLU 2 (65-66),30.5266,80.6,SYBR Results 2022-12-01 (2).xlsx
268,GLU 2 (65-66),30.2367,80.6,SYBR Results 2022-12-01 (2).xlsx
268,GAPDH,21.9216,79.8,SYBR Results 2022-12-01 (2).xlsx
268,GAPDH,21.8798,79.8,SYBR Results 2022-12-01 (2).xlsx
268,GAPDH,21.8839,79.8,SYBR Results 2022-12-01 (2).xlsx
269,GLU 1 (41-42),23.0683,85.9,SYBR Results 2022-12-01 (2).xlsx
269,GLU 1 (41-42),23.001,86.3,SYBR Results 2022-12-01 (2).xlsx
269,GLU 1 (41-42),22.9269,86.3,SYBR Results 2022-12-01 (2).xlsx
269,GLU 2 (65-66),33.2616,80.9,SYBR Results 2022-12-01 (2).xlsx
269,GLU 2 (65-66),32.8784,80.9,SYBR Results 2022-12-01 (2).xlsx
269,GLU 2 (65-66),32.8156,80.9,SYBR Results 2022-12-01 (2).xlsx
269,GAPDH,21.5462,79.5,SYBR Results 2022-12-01 (2).xlsx
269,GAPDH,21.5064,79.5,SYBR Results 2022-12-01 (2).xlsx
269,GAPDH,21.4145,79.5,SYBR Results 2022-12-01 (2).xlsx
270,GLU 1 (41-42),32.2988,85.9,SYBR Results 2022-12-01 (2).xlsx
270,GLU 1 (41-42),33.6125,85.9,SYBR Results 2022-12-01 (2).xlsx
270,GLU 1 (41-42),32.102,85.9,SYBR Results 2022-12-01 (2).xlsx
270,GLU 2 (65-66),33.4959,80.2,SYBR Results 2022-12-01 (2).xlsx
270,GLU 2 (65-66),35.5507,80.2,SYBR Results 2022-12-01 (2).xlsx
270,GLU 2 (65-66),33.2631,80.2,SYBR Results 2022-12-01 (2).xlsx
270,GAPDH,30.3866,79.2,SYBR Results 2022-12-01 (2).xlsx
270,GAPDH,30.1318,79.2,SYBR Results 2022-12-01 (2).xlsx
270,GAPDH,30.8298,79.2,SYBR Results 2022-12-01 (2).xlsx
271,GLU 1 (41-42),23.9518,86.2,SYBR Results 2022-12-01 (3).xlsx
271,GLU 1 (41-42),23.9863,86.2,SYBR Results 2022-12-01 (3).xlsx
271,GLU 1 (41-42),23.9465,86.2,SYBR Results 2022-12-01 (3).xlsx
271,GLU 2 (65-66),25.1375,80.4,SYBR Results 2022-12-01 (3).xlsx
271,GLU 2 (65-66),25.1715,80.4,SYBR Results 2022-12-01 (3).xlsx
271,GLU 2 (65-66),25.1822,80.8,SYBR Results 2022-12-01 (3).xlsx
271,GAPDH,23.1796,79.4,SYBR Results 2022-12-01 (3).xlsx
271,GAPDH,23.1537,79.4,SYBR Results 2022-12-01 (3).xlsx
271,GAPDH,23.1219,79.4,SYBR Results 2022-12-01 (3).xlsx
272,GLU 1 (41-42),26.9419,86.2,SYBR Results 2022-12-01 (3).xlsx
272,GLU 1 (41-42),26.9577,86.2,SYBR Results 2022-12-01 (3).xlsx
272,GLU 1 (41-42),27.1458,86.6,SYBR Results 2022-12-01 (3).xlsx
272,GLU 2 (65-66),31.4738,80.8,SYBR Results 2022-12-01 (3).xlsx
272,GLU 2 (65-66),31.4034,81.1,SYBR Results 2022-12-01 (3).xlsx
272,GLU 2 (65-66),31.7807,80.8,SYBR Results 2022-12-01 (3).xlsx
272,GAPDH,20.2603,79.7,SYBR Results 2022-12-01 (3).xlsx
272,GAPDH,20.2639,79.7,SYBR Results 2022-12-01 (3).xlsx
272,GAPDH,20.2536,79.7,SYBR Results 2022-12-01 (3).xlsx
273,GLU 1 (41-42),34.3976,85.5,SYBR Results 2022-12-01 (3).xlsx
273,GLU 1 (41-42),33.0085,85.9,SYBR Results 2022-12-01 (3).xlsx
273,GLU 1 (41-42),32.8628,85.9,SYBR Results 2022-12-01 (3).xlsx
273,GLU 2 (65-66),33.0628,80.4,SYBR Results 2022-12-01 (3).xlsx
273,GLU 2 (65-66),34.6185,80.4,SYBR Results 2022-12-01 (3).xlsx
273,GLU 2 (65-66),34.3497,80.4,SYBR Results 2022-12-01 (3).xlsx
273,GAPDH,31.0588,79.4,SYBR Results 2022-12-01 (3).xlsx
273,GAPDH,31.1358,79.4,SYBR Results 2022-12-01 (3).xlsx
273,GAPDH,31.1544,79.4,SYBR Results 2022-12-01 (3).xlsx
274,GLU 1 (41-42),24.9451,85.9,SYBR Results 2022-12-01 (3).xlsx
274,GLU 1 (41-42),24.9204,85.9,SYBR Results 2022-12-01 (3).xlsx
274,GLU 1 (41-42),25.0489,86.2,SYBR Results 2022-12-01 (3).xlsx
274,GLU 2 (65-66),29.8868,80.8,SYBR Results 2022-12-01 (3).xlsx
274,GLU 2 (65-66),29.8734,80.8,SYBR Results 2022-12-01 (3).xlsx
274,GLU 2 (65-66),29.8641,80.8,SYBR Results 2022-12-01 (3).xlsx
274,GAPDH,22.4142,79.7,SYBR Results 2022-12-01 (3).xlsx
274,GAPDH,22.358,79.7,SYBR Results 2022-12-01 (3).xlsx
274,GAPDH,22.3206,80.1,SYBR Results 2022-12-01 (3).xlsx
275,GLU 1 (41-42),24.0475,85.9,SYBR Results 2022-12-01 (3).xlsx
275,GLU 1 (41-42),24.0322,85.9,SYBR Results 2022-12-01 (3).xlsx
275,GLU 1 (41-42),24.0662,86.2,SYBR Results 2022-12-01 (3).xlsx
275,GLU 2 (65-66),29.8852,80.4,SYBR Results 2022-12-01 (3).xlsx
275,GLU 2 (65-66),30.1103,80.8,SYBR Results 2022-12-01 (3).xlsx
275,GLU 2 (65-66),29.9982,80.8,SYBR Results 2022-12-01 (3).xlsx
275,GAPDH,22.8489,79.7,SYBR Results 2022-12-01 (3).xlsx
275,GAPDH,22.8756,79.7,SYBR Results 2022-12-01 (3).xlsx
275,GAPDH,22.7874,80.1,SYBR Results 2022-12-01 (3).xlsx
276,GLU 1 (41-42),24.2119,86.2,SYBR Results 2022-12-01 (3).xlsx
276,GLU 1 (41-42),24.1307,86.6,SYBR Results 2022-12-01 (3).xlsx
276,GLU 1 (41-42),24.13,86.6,SYBR Results 2022-12-01 (3).xlsx
276,GLU 2 (65-66),32.4851,80.4,SYBR Results 2022-12-01 (3).xlsx
276,GLU 2 (65-66),33.1991,80.8,SYBR Results 2022-12-01 (3).xlsx
276,GLU 2 (65-66),33.2161,80.8,SYBR Results 2022-12-01 (3).xlsx
276,GAPDH,22.7095,79.7,SYBR Results 2022-12-01 (3).xlsx
276,GAPDH,22.6492,79.7,SYBR Results 2022-12-01 (3).xlsx
276,GAPDH,22.6257,79.7,SYBR Results 2022-12-01 (3).xlsx
277,GLU 1 (41-42),22.852,86.2,SYBR Results 2022-12-01 (3).xlsx
277,GLU 1 (41-42),22.7483,86.2,SYBR Results 2022-12-01 (3).xlsx
277,GLU 1 (41-42),22.7838,86.6,SYBR Results 2022-12-01 (3).xlsx
277,GLU 2 (65-66),29.8664,80.1,SYBR Results 2022-12-01 (3).xlsx
277,GLU 2 (65-66),30.3086,80.1,SYBR Results 2022-12-01 (3).xlsx
277,GLU 2 (65-66),30.3092,80.4,SYBR Results 2022-12-01 (3).xlsx
277,GAPDH,21.1924,79.7,SYBR Results 2022-12-01 (3).xlsx
277,GAPDH,21.1871,79.7,SYBR Results 2022-12-01 (3).xlsx
277,GAPDH,21.1426,79.7,SYBR Results 2022-12-01 (3).xlsx
278,GLU 1 (41-42),25.2617,85.9,SYBR Results 2022-12-01 (3).xlsx
278,GLU 1 (41-42),25.1259,85.9,SYBR Results 2022-12-01 (3).xlsx
278,GLU 1 (41-42),25.0669,85.9,SYBR Results 2022-12-01 (3).xlsx
278,GLU 2 (65-66),36.4182,80.4,SYBR Results 2022-12-01 (3).xlsx
278,GLU 2 (65-66),34.7777,80.4,SYBR Results 2022-12-01 (3).xlsx
278,GLU 2 (65-66),34.8783,80.8,SYBR Results 2022-12-01 (3).xlsx
278,GAPDH,20.2881,79.4,SYBR Results 2022-12-01 (3).xlsx
278,GAPDH,20.4046,79.4,SYBR Results 2022-12-01 (3).xlsx
278,GAPDH,20.1963,79.4,SYBR Results 2022-12-01 (3).xlsx
279,GLU 1 (41-42),28.2463,86.1,SYBR Results 2022-12-05 (1).xlsx
279,GLU 1 (41-42),28.2883,86.1,SYBR Results 2022-12-05 (1).xlsx
279,GLU 1 (41-42),28.0117,86.1,SYBR Results 2022-12-05 (1).xlsx
279,GLU 2 (65-66),34.0351,80.1,SYBR Results 2022-12-05 (1).xlsx
279,GLU 2 (65-66),33.9893,80.4,SYBR Results 2022-12-05 (1).xlsx
279,GLU 2 (65-66),33.7207,80.4,SYBR Results 2022-12-05 (1).xlsx
279,GAPDH,25.9036,79.4,SYBR Results 2022-12-05 (1).xlsx
279,GAPDH,25.6195,79.4,SYBR Results 2022-12-05 (1).xlsx
279,GAPDH,25.5961,79.4,SYBR Results 2022-12-05 (1).xlsx
280,GLU 1 (41-42),24.5262,86.1,SYBR Results 2022-12-05 (1).xlsx
280,GLU 1 (41-42),24.5769,86.4,SYBR Results 2022-12-05 (1).xlsx
280,GLU 1 (41-42),24.4543,86.4,SYBR Results 2022-12-05 (1).xlsx
280,GLU 2 (65-66),32.5292,80.7,SYBR Results 2022-12-05 (1).xlsx
280,GLU 2 (65-66),32.6859,81,SYBR Results 2022-12-05 (1).xlsx
280,GLU 2 (65-66),32.8436,81,SYBR Results 2022-12-05 (1).xlsx
280,GAPDH,21.57,79.7,SYBR Results 2022-12-05 (1).xlsx
280,GAPDH,21.2969,79.7,SYBR Results 2022-12-05 (1).xlsx
280,GAPDH,21.2853,79.7,SYBR Results 2022-12-05 (1).xlsx
281,GLU 1 (41-42),24.0164,86.4,SYBR Results 2022-12-05 (1).xlsx
281,GLU 1 (41-42),23.892,86.4,SYBR Results 2022-12-05 (1).xlsx
281,GLU 1 (41-42),23.8181,86.4,SYBR Results 2022-12-05 (1).xlsx
281,GLU 2 (65-66),32.3811,81,SYBR Results 2022-12-05 (1).xlsx
281,GLU 2 (65-66),32.8681,81,SYBR Results 2022-12-05 (1).xlsx
281,GLU 2 (65-66),33.1289,81,SYBR Results 2022-12-05 (1).xlsx
281,GAPDH,21.1961,79.7,SYBR Results 2022-12-05 (1).xlsx
281,GAPDH,21.345,79.7,SYBR Results 2022-12-05 (1).xlsx
281,GAPDH,21.1104,79.7,SYBR Results 2022-12-05 (1).xlsx
282,GLU 1 (41-42),32.6166,86.1,SYBR Results 2022-12-05 (1).xlsx
282,GLU 1 (41-42),32.2167,86.4,SYBR Results 2022-12-05 (1).xlsx
282,GLU 1 (41-42),32.1251,86.4,SYBR Results 2022-12-05 (1).xlsx
282,GLU 2 (65-66),31.0553,80.7,SYBR Results 2022-12-05 (1).xlsx
282,GLU 2 (65-66),31.0435,80.7,SYBR Results 2022-12-05 (1).xlsx
282,GLU 2 (65-66),30.7301,80.7,SYBR Results 2022-12-05 (1).xlsx
282,GAPDH,30.5903,79.7,SYBR Results 2022-12-05 (1).xlsx
282,GAPDH,30.5339,79.7,SYBR Results 2022-12-05 (1).xlsx
282,GAPDH,30.449,79.7,SYBR Results 2022-12-05 (1).xlsx
283,GLU 1 (41-42),24.7109,86.4,SYBR Results 2022-12-05 (1).xlsx
283,GLU 1 (41-42),24.6169,86.4,SYBR Results 2022-12-05 (1).xlsx
283,GLU 1 (41-42),24.7307,86.8,SYBR Results 2022-12-05 (1).xlsx
283,GLU 2 (65-66),27.896,80.7,SYBR Results 2022-12-05 (1).xlsx
283,GLU 2 (65-66),27.6997,81,SYBR Results 2022-12-05 (1).xlsx
283,GLU 2 (65-66),27.7065,81,SYBR Results 2022-12-05 (1).xlsx
283,GAPDH,21.5849,79.7,SYBR Results 2022-12-05 (1).xlsx
283,GAPDH,21.5346,79.7,SYBR Results 2022-12-05 (1).xlsx
283,GAPDH,21.6169,80.1,SYBR Results 2022-12-05 (1).xlsx
284,GLU 1 (41-42),25.3199,86.1,SYBR Results 2022-12-05 (1).xlsx
284,GLU 1 (41-42),25.3852,86.4,SYBR Results 2022-12-05 (1).xlsx
284,GLU 1 (41-42),25.2753,86.4,SYBR Results 2022-12-05 (1).xlsx
284,GLU 2 (65-66),30.2344,81.4,SYBR Results 2022-12-05 (1).xlsx
284,GLU 2 (65-66),30.4454,81.7,SYBR Results 2022-12-05 (1).xlsx
284,GLU 2 (65-66),30.0309,81.7,SYBR Results 2022-12-05 (1).xlsx
284,GAPDH,20.9168,79.7,SYBR Results 2022-12-05 (1).xlsx
284,GAPDH,21.0139,79.7,SYBR Results 2022-12-05 (1).xlsx
284,GAPDH,20.9028,79.7,SYBR Results 2022-12-05 (1).xlsx
285,GLU 1 (41-42),29.1708,86.1,SYBR Results 2022-12-05 (1).xlsx
285,GLU 1 (41-42),29.3812,86.1,SYBR Results 2022-12-05 (1).xlsx
285,GLU 1 (41-42),29.1102,86.4,SYBR Results 2022-12-05 (1).xlsx
285,GLU 2 (65-66),36.2782,80.7,SYBR Results 2022-12-05 (1).xlsx
285,GLU 2 (65-66),37.2491,80.7,SYBR Results 2022-12-05 (1).xlsx
285,GLU 2 (65-66),37.9747,80.7,SYBR Results 2022-12-05 (1).xlsx
285,GAPDH,25.8825,79.4,SYBR Results 2022-12-05 (1).xlsx
285,GAPDH,25.867,79.7,SYBR Results 2022-12-05 (1).xlsx
285,GAPDH,25.9113,79.7,SYBR Results 2022-12-05 (1).xlsx
286,GLU 1 (41-42),24.1232,86.1,SYBR Results 2022-12-05 (1).xlsx
286,GLU 1 (41-42),24.2932,86.1,SYBR Results 2022-12-05 (1).xlsx
286,GLU 1 (41-42),24.254,86.1,SYBR Results 2022-12-05 (1).xlsx
286,GLU 2 (65-66),32.2547,80.4,SYBR Results 2022-12-05 (1).xlsx
286,GLU 2 (65-66),32.0599,80.4,SYBR Results 2022-12-05 (1).xlsx
286,GLU 2 (65-66),31.3313,80.4,SYBR Results 2022-12-05 (1).xlsx
286,GAPDH,20.9128,79.4,SYBR Results 2022-12-05 (1).xlsx
286,GAPDH,21.0025,79.4,SYBR Results 2022-12-05 (1).xlsx
286,GAPDH,21.001,79.4,SYBR Results 2022-12-05 (1).xlsx
287,GLU 1 (41-42),22.5937,86.3,SYBR Results 2022-12-05 (2).xlsx
287,GLU 1 (41-42),22.5899,86.3,SYBR Results 2022-12-05 (2).xlsx
287,GLU 1 (41-42),22.529,86.3,SYBR Results 2022-12-05 (2).xlsx
287,GLU 2 (65-66),31.7366,80.5,SYBR Results 2022-12-05 (2).xlsx
287,GLU 2 (65-66),31.6522,80.9,SYBR Results 2022-12-05 (2).xlsx
287,GLU 2 (65-66),31.9299,80.9,SYBR Results 2022-12-05 (2).xlsx
287,GAPDH,20.5214,79.5,SYBR Results 2022-12-05 (2).xlsx
287,GAPDH,20.5451,79.5,SYBR Results 2022-12-05 (2).xlsx
287,GAPDH,20.5254,79.5,SYBR Results 2022-12-05 (2).xlsx
288,GLU 1 (41-42),NA,66.8,SYBR Results 2022-12-05 (2).xlsx
288,GLU 1 (41-42),NA,65.4,SYBR Results 2022-12-05 (2).xlsx
288,GLU 1 (41-42),NA,66.4,SYBR Results 2022-12-05 (2).xlsx
288,GLU 2 (65-66),NA,66.8,SYBR Results 2022-12-05 (2).xlsx
288,GLU 2 (65-66),NA,67.8,SYBR Results 2022-12-05 (2).xlsx
288,GLU 2 (65-66),NA,80.9,SYBR Results 2022-12-05 (2).xlsx
288,GAPDH,33.0209,79.5,SYBR Results 2022-12-05 (2).xlsx
288,GAPDH,32.2491,79.5,SYBR Results 2022-12-05 (2).xlsx
288,GAPDH,33.0789,79.1,SYBR Results 2022-12-05 (2).xlsx
289,GLU 1 (41-42),26.0241,85.7,SYBR Results 2022-12-05 (2).xlsx
289,GLU 1 (41-42),25.9483,86,SYBR Results 2022-12-05 (2).xlsx
289,GLU 1 (41-42),25.8548,86,SYBR Results 2022-12-05 (2).xlsx
289,GLU 2 (65-66),30.0435,80.5,SYBR Results 2022-12-05 (2).xlsx
289,GLU 2 (65-66),29.7068,80.5,SYBR Results 2022-12-05 (2).xlsx
289,GLU 2 (65-66),30.1685,80.5,SYBR Results 2022-12-05 (2).xlsx
289,GAPDH,23.201,79.8,SYBR Results 2022-12-05 (2).xlsx
289,GAPDH,23.1592,79.8,SYBR Results 2022-12-05 (2).xlsx
289,GAPDH,23.1536,79.8,SYBR Results 2022-12-05 (2).xlsx
290,GLU 1 (41-42),25.4687,86,SYBR Results 2022-12-05 (2).xlsx
290,GLU 1 (41-42),25.5148,86,SYBR Results 2022-12-05 (2).xlsx
290,GLU 1 (41-42),25.3936,86.3,SYBR Results 2022-12-05 (2).xlsx
290,GLU 2 (65-66),28.4897,80.5,SYBR Results 2022-12-05 (2).xlsx
290,GLU 2 (65-66),28.6413,80.5,SYBR Results 2022-12-05 (2).xlsx
290,GLU 2 (65-66),28.4044,80.9,SYBR Results 2022-12-05 (2).xlsx
290,GAPDH,23.103,79.8,SYBR Results 2022-12-05 (2).xlsx
290,GAPDH,23.0837,79.8,SYBR Results 2022-12-05 (2).xlsx
290,GAPDH,23.1238,79.8,SYBR Results 2022-12-05 (2).xlsx
262,GLU 1 (41-42),23.2169,86,SYBR Results 2022-12-05 (2).xlsx
262,GLU 1 (41-42),23.2236,86,SYBR Results 2022-12-05 (2).xlsx
262,GLU 1 (41-42),23.2619,86.3,SYBR Results 2022-12-05 (2).xlsx
262,GLU 2 (65-66),25.6779,80.5,SYBR Results 2022-12-05 (2).xlsx
262,GLU 2 (65-66),25.4687,80.9,SYBR Results 2022-12-05 (2).xlsx
262,GLU 2 (65-66),25.7012,80.9,SYBR Results 2022-12-05 (2).xlsx
262,GAPDH,22.5916,79.8,SYBR Results 2022-12-05 (2).xlsx
262,GAPDH,22.6443,79.8,SYBR Results 2022-12-05 (2).xlsx
262,GAPDH,22.6064,79.8,SYBR Results 2022-12-05 (2).xlsx
